,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,620.335,621.582,,1.12587
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:01:33:635,,-0.953234,0.317739,32.2536,1.00247,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-0.5625,1.125,-0.1875,1.125,-0.5625,-0.1875,0,4.28084e-313,nan
-00:01:34:550,,-0.317748,0.635486,32.2201,1.00143,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-1,0.9375,-0.1875,0.9375,-1,-0.1875,0,4.28084e-313,nan
-00:01:35:450,,-0.317748,0,32.1504,0.999266,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-0.6875,0.9375,0,0.9375,-0.6875,0,0,4.28084e-313,nan
-00:01:36:366,,-0.317748,0,32.2307,1.00176,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8457',-0.625,1,-0.125,1,-0.625,-0.125,0,4.28084e-313,nan
-00:01:37:282,,-0.317748,0,32.178,1.00012,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8456',-0.5625,0.875,0,0.875,-0.5625,0,0,4.28084e-313,nan
-00:01:38:182,,-0.317748,0,32.0654,0.996623,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8456',1.375,0.9375,0,0.9375,1.375,0,0,4.28084e-313,nan
-00:01:39:098,,0,0.317748,31.9194,0.992086,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8456',-0.125,1.3125,-0.3125,1.3125,-0.125,-0.3125,0,4.28084e-313,nan
-00:01:39:998,,-0.635493,-0.635493,32.1517,0.999307,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8456',0.9375,0.875,-0.125,0.875,0.9375,-0.125,0,4.28084e-313,nan
-00:01:40:913,,-0.953234,-0.317742,32.4341,1.00809,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8456',4,1.0625,-0.1875,1.0625,4,-0.1875,0,4.28084e-313,nan
-00:01:41:829,,-0.635493,0.317742,32.3319,1.00491,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8455',-6.9375,0.75,-0.75,0.75,-6.9375,-0.75,0,4.28084e-313,nan
-00:01:42:729,,-0.635493,0,31.9231,0.992201,1,32.9435,-106.914,N 32° 56.6085',W 106° 54.8455',-11.25,0.4375,0.5,0.4375,-11.25,0.5,0,4.28084e-313,nan
-00:01:43:645,,-1.58871,-0.953216,32.5435,1.01148,1,32.9435,-106.914,N 32° 56.6085',W 106° 54.8455',1.5625,0.5625,-1.375,0.5625,1.5625,-1.375,0,4.28084e-313,nan
-00:01:44:545,,-0.317748,1.27096,33.0368,1.02682,1,32.9435,-106.914,N 32° 56.6085',W 106° 54.8455',-8.25,2.0625,-0.625,2.0625,-8.25,-0.625,0,4.28084e-313,nan
-00:01:45:460,,-0.635493,-0.317745,32.3531,1.00557,1,32.9435,-106.914,N 32° 56.6085',W 106° 54.8455',-5.3125,0.9375,-1.25,0.9375,-5.3125,-1.25,0,4.28084e-313,nan
-00:01:46:360,,-0.635493,0,31.9566,0.993243,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8455',-0.0625,1.375,0.9375,1.375,-0.0625,0.9375,0,4.28084e-313,nan
-00:01:47:276,,-0.635493,0,32.2194,1.00141,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8455',3.5,0.5,-0.375,0.5,3.5,-0.375,0,4.28084e-313,nan
-00:01:48:192,,-1.27097,-0.63548,32.1409,0.998971,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8456',-2.75,0.625,0.1875,0.625,-2.75,0.1875,0,4.28084e-313,nan
-00:01:49:108,,-0.635493,0.63548,31.8034,0.98848,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8456',0.6875,1.625,-0.625,1.625,0.6875,-0.625,0,4.28084e-313,nan
-00:01:50:024,,-0.953234,-0.317742,32.2059,1.00099,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8456',-6.1875,0.3125,0.25,0.3125,-6.1875,0.25,0,4.28084e-313,nan
-00:01:50:924,,-0.953234,0,32.7065,1.01655,1,32.9435,-106.914,N 32° 56.6084',W 106° 54.8456',-0.75,1.25,0.125,1.25,-0.75,0.125,0,4.28084e-313,nan
